id,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts11313,SHOW,2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",1,9,302147,104.037,8.7
ts21247,SHOW,2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",8,7.7,310776,463.661,8.3
ts20305,SHOW,2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",6,8.4,93980,362.73,8.4
ts2230,SHOW,2003,TV-14,44,['reality'],24,5.6,17843,12.812,5.3
ts17942,SHOW,2003,TV-14,21,"['comedy', 'music']",3,8.8,62140,13.557,8.1
ts22267,SHOW,2001,TV-MA,25,"['comedy', 'crime']",12,8.6,41791,26.26,8
ts6644,SHOW,2010,TV-MA,58,"['drama', 'european']",4,8.5,23523,21.761,8.1
ts22018,SHOW,2007,TV-G,26,"['comedy', 'family', 'romance']",6,6.7,38281,96.149,8
ts30311,SHOW,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",4,6.9,24224,76.049,8.2
ts21197,SHOW,2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",5,7.9,80138,123.15,7.9
ts35155,SHOW,2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",1,8.3,17024,22.238,8.2
ts12787,SHOW,2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",3,8.7,62367,36.627,8.5
ts21544,SHOW,2010,TV-Y7,22,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",4,7.9,6500,31.514,8
ts31263,SHOW,2001,TV-14,52,['reality'],5,7.6,1104,4.376,7.8
ts687,SHOW,2004,TV-14,44,"['scifi', 'thriller', 'drama']",4,7.3,44971,21.12,7.2
ts24028,SHOW,2002,TV-14,29,"['comedy', 'european']",9,8.9,7539,5.171,8.3
ts23752,SHOW,2009,TV-MA,27,"['drama', 'comedy']",5,8.6,2110,15.027,7.8
ts21706,SHOW,2006,TV-PG,25,"['drama', 'scifi', 'fantasy', 'family']",3,7.2,14782,21.417,7.8
ts21740,SHOW,2008,TV-MA,25,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",3,8.3,1856,27.454,7.6
ts30356,SHOW,2010,TV-Y,15,"['action', 'animation', 'comedy', 'family']",6,7.6,1049,39.732,7.2
ts31514,SHOW,2003,TV-Y,23,"['animation', 'family']",4,7,13,26.42,6.6
ts22005,SHOW,2007,TV-PG,23,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']",6,7.4,10523,16.775,7.3
ts21688,SHOW,2009,TV-14,64,"['comedy', 'drama', 'romance']",1,7.9,11579,75.209,8.3
ts22318,SHOW,2004,TV-G,23,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",8,6.2,6700,25.162,8.2
ts12815,SHOW,2009,TV-G,25,"['comedy', 'family']",4,6.3,12046,65.327,8.8
ts15986,SHOW,2008,TV-MA,141,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",1,7.6,19684,9.747,7.3
ts26322,SHOW,2008,TV-14,30,"['animation', 'romance', 'comedy', 'drama']",2,8,14307,28.197,8.5
ts33559,SHOW,2007,TV-G,7,"['animation', 'comedy', 'family', 'european']",6,8,25,24.246,7.9
ts56549,SHOW,2003,TV-14,22,"['comedy', 'horror', 'reality', 'scifi', 'thriller']",5,6.7,2512,3.501,6.5
ts21421,SHOW,2005,TV-G,11,"['animation', 'family', 'comedy', 'european']",4,3.9,93,21.257,7.1
ts20526,SHOW,2006,TV-14,22,"['comedy', 'drama', 'sport', 'romance']",10,6.6,4417,7.989,8.4
ts30083,SHOW,2010,TV-14,26,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",1,7.7,13848,19.033,8
ts23835,SHOW,2009,TV-Y,6,"['comedy', 'family', 'action', 'animation']",5,7.6,3114,41.69,6.9
ts23808,SHOW,2009,TV-MA,55,"['comedy', 'documentation']",1,8.1,1740,3.829,7.9
ts20544,SHOW,2006,TV-14,23,"['comedy', 'drama', 'animation', 'romance']",1,8.2,9763,15.959,8.4
ts30288,SHOW,2010,TV-14,35,"['action', 'drama', 'scifi', 'war', 'animation']",2,7.8,1291,14.729,7.8
ts21967,SHOW,2005,TV-Y7,18,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']",6,5.1,8172,15.75,5.6
ts12701,SHOW,2003,TV-G,24,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']",5,7.3,5109,22.785,7.7
ts21695,SHOW,2009,TV-14,61,"['action', 'comedy', 'reality', 'romance', 'thriller']",2,7.8,1951,9.565,7.8
ts121176,SHOW,2010,TV-PG,24,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']",1,6.5,330,6.803,8.5
ts1893,SHOW,2009,TV-G,14,"['comedy', 'family', 'fantasy', 'animation', 'european']",3,7.5,1222,18.311,6.6
ts20535,SHOW,2009,TV-G,17,"['animation', 'comedy', 'family', 'european']",5,5.3,2499,19.716,5.3
ts38159,SHOW,2008,TV-Y7,22,"['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']",3,8.1,1469,48.59,8.9
ts25765,SHOW,2008,TV-14,25,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']",2,7.3,5172,16.465,8.4
ts3666,SHOW,2007,TV-Y7,25,"['scifi', 'animation', 'comedy', 'drama']",1,7.9,863,11.511,8.1
ts21664,SHOW,2001,TV-14,20,['comedy'],5,7,2303,5.453,7.9
ts1464,SHOW,2008,TV-MA,44,"['action', 'crime', 'drama', 'thriller', 'comedy']",2,8.1,755,208.108,7.5
ts72322,SHOW,2009,TV-14,43,"['drama', 'action']",2,6.6,284,29.715,7.4
ts74928,SHOW,2009,TV-14,44,"['documentation', 'history', 'war', 'european']",1,7.6,603,2.496,7.3
ts20358,SHOW,2002,TV-14,21,['comedy'],4,7,1827,5.019,8.1
ts23319,SHOW,2009,TV-Y,14,"['comedy', 'fantasy', 'animation', 'family', 'european']",3,6.9,1083,17.668,6.6
ts63295,SHOW,2006,TV-MA,72,['drama'],1,8.7,1034,2.452,9
ts44663,SHOW,2010,TV-Y,9,"['animation', 'comedy', 'european']",1,7.4,572,7.759,7.3
ts37200,SHOW,2004,TV-G,3,"['animation', 'family', 'european']",2,6.2,120,2.886,7.2
ts56589,SHOW,2010,TV-Y,11,"['animation', 'comedy', 'family']",6,5.2,156,6.172,6.3
ts1413,SHOW,2009,TV-14,58,"['drama', 'romance']",1,7.9,475,9.386,7.8
ts4866,SHOW,2008,TV-G,67,"['drama', 'comedy', 'romance']",1,7.4,461,3.878,7.3
ts34414,SHOW,2007,TV-MA,44,['comedy'],1,7.2,203,19.697,7.7
ts29199,SHOW,2006,TV-PG,56,['comedy'],1,7.9,437,0.673,8
ts12444,SHOW,2010,TV-MA,59,['drama'],1,6.8,90,4.571,5.3
